2017-06-17 12:32:00 INFO  Server:94 - (O_O) Oтправляет об отключении(message) => 6525a6f6-ff90-4541-a742-e18df50d3c80|Disconnection
2017-06-17 12:32:02 INFO  Server:30 - (O_O) Получил [Nickname|uncnown62] bc3ce5dc-6734-40a9-a4e5-00f61c51dd7d
2017-06-17 12:32:02 INFO  Server:37 - (O_O) Oтправляет (message) => bc3ce5dc-6734-40a9-a4e5-00f61c51dd7d|Nickname|uncnown62
2017-06-17 12:32:02 INFO  Server:40 - (O_O) Oтправляет (message-1) => bc3ce5dc-6734-40a9-a4e5-00f61c51dd7d|IdUser
2017-06-17 12:32:02 INFO  Server:45 - (O_O) Oтправляет (message-2) => [{"lobbiCreate":-1,"nickname":"uncnown62","id":"bc3ce5dc-6734-40a9-a4e5-00f61c51dd7d","lobbiConnection":-1}]|InfoUsers
2017-06-17 12:32:24 INFO  Server:91 - [close] TyrusSession{uri=/ws/gwent, id='bc3ce5dc-6734-40a9-a4e5-00f61c51dd7d', endpointWrapper=TyrusEndpointWrapper{endpointClass=null, endpoint=org.glassfish.tyrus.core.AnnotatedEndpoint@731a74c, contextPath='/ws', endpointPath=/ws/gwent, encoders=[CoderWrapper{coderClass=class org.glassfish.tyrus.core.coder.NoOpTextCoder, coder=org.glassfish.tyrus.core.coder.NoOpTextCoder@369f73a2, type=class java.lang.String}, CoderWrapper{coderClass=class org.glassfish.tyrus.core.coder.NoOpByteBufferCoder, coder=org.glassfish.tyrus.core.coder.NoOpByteBufferCoder@1f28c152, type=class java.nio.ByteBuffer}, CoderWrapper{coderClass=class org.glassfish.tyrus.core.coder.NoOpByteArrayCoder, coder=org.glassfish.tyrus.core.coder.NoOpByteArrayCoder@7d907bac, type=class [B}, CoderWrapper{coderClass=class org.glassfish.tyrus.core.coder.ToStringEncoder, coder=org.glassfish.tyrus.core.coder.ToStringEncoder@7791a895, type=class java.lang.Object}], decoders=[CoderWrapper{coderClass=class org.glassfish.tyrus.core.coder.PrimitiveDecoders$BooleanDecoder, coder=org.glassfish.tyrus.core.coder.PrimitiveDecoders$BooleanDecoder@3a5ed7a6, type=class java.lang.Boolean}, CoderWrapper{coderClass=class org.glassfish.tyrus.core.coder.PrimitiveDecoders$ByteDecoder, coder=org.glassfish.tyrus.core.coder.PrimitiveDecoders$ByteDecoder@6325a3ee, type=class java.lang.Byte}, CoderWrapper{coderClass=class org.glassfish.tyrus.core.coder.PrimitiveDecoders$CharacterDecoder, coder=org.glassfish.tyrus.core.coder.PrimitiveDecoders$CharacterDecoder@1d16f93d, type=class java.lang.Character}, CoderWrapper{coderClass=class org.glassfish.tyrus.core.coder.PrimitiveDecoders$DoubleDecoder, coder=org.glassfish.tyrus.core.coder.PrimitiveDecoders$DoubleDecoder@67b92f0a, type=class java.lang.Double}, CoderWrapper{coderClass=class org.glassfish.tyrus.core.coder.PrimitiveDecoders$FloatDecoder, coder=org.glassfish.tyrus.core.coder.PrimitiveDecoders$FloatDecoder@2b9627bc, type=class java.lang.Float}, CoderWrapper{coderClass=class org.glassfish.tyrus.core.coder.PrimitiveDecoders$IntegerDecoder, coder=org.glassfish.tyrus.core.coder.PrimitiveDecoders$IntegerDecoder@65e2dbf3, type=class java.lang.Integer}, CoderWrapper{coderClass=class org.glassfish.tyrus.core.coder.PrimitiveDecoders$LongDecoder, coder=org.glassfish.tyrus.core.coder.PrimitiveDecoders$LongDecoder@4f970963, type=class java.lang.Long}, CoderWrapper{coderClass=class org.glassfish.tyrus.core.coder.PrimitiveDecoders$ShortDecoder, coder=org.glassfish.tyrus.core.coder.PrimitiveDecoders$ShortDecoder@61f8bee4, type=class java.lang.Short}, CoderWrapper{coderClass=class org.glassfish.tyrus.core.coder.NoOpTextCoder, coder=org.glassfish.tyrus.core.coder.NoOpTextCoder@7b49cea0, type=class java.lang.String}, CoderWrapper{coderClass=class org.glassfish.tyrus.core.coder.NoOpByteBufferCoder, coder=org.glassfish.tyrus.core.coder.NoOpByteBufferCoder@887af79, type=class java.nio.ByteBuffer}, CoderWrapper{coderClass=class org.glassfish.tyrus.core.coder.NoOpByteArrayCoder, coder=org.glassfish.tyrus.core.coder.NoOpByteArrayCoder@7fac631b, type=class [B}, CoderWrapper{coderClass=class org.glassfish.tyrus.core.coder.ReaderDecoder, coder=org.glassfish.tyrus.core.coder.ReaderDecoder@5b87ed94, type=class java.io.Reader}, CoderWrapper{coderClass=class org.glassfish.tyrus.core.coder.InputStreamDecoder, coder=org.glassfish.tyrus.core.coder.InputStreamDecoder@6e0e048a, type=class java.io.InputStream}]}}
2017-06-17 12:32:24 INFO  Server:94 - (O_O) Oтправляет об отключении(message) => bc3ce5dc-6734-40a9-a4e5-00f61c51dd7d|Disconnection
2017-06-17 12:32:29 INFO  Server:30 - (O_O) Получил [Nickname|uncnown431] 8e5242a0-d2e3-427d-8d17-a63021079bc2
2017-06-17 12:32:29 INFO  Server:37 - (O_O) Oтправляет (message) => 8e5242a0-d2e3-427d-8d17-a63021079bc2|Nickname|uncnown431
2017-06-17 12:32:29 INFO  Server:40 - (O_O) Oтправляет (message-1) => 8e5242a0-d2e3-427d-8d17-a63021079bc2|IdUser
2017-06-17 12:32:29 INFO  Server:45 - (O_O) Oтправляет (message-2) => [{"lobbiCreate":-1,"nickname":"uncnown431","id":"8e5242a0-d2e3-427d-8d17-a63021079bc2","lobbiConnection":-1}]|InfoUsers
